scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N700_MNARstrong_both_misspec_NULL,700,MNARstrong,both_misspec,True,0.0,0.0,CC,250,0.0,-0.1735984098898723,0.012661021737844282,0.26467239052531966,0.011577916829877367,0.884,0.020252802275240827,0.116,0.020252802275240827,0.6661828571428572,,,,,,
N700_MNARstrong_both_misspec_NULL,700,MNARstrong,both_misspec,True,0.0,0.0,OM,250,0.0,-0.1627224870387879,0.012448896945142895,0.25508310712517746,0.01123520766228243,0.88,0.020552372125864207,0.12,0.020552372125864207,0.6661828571428572,,,,,,
N700_MNARstrong_both_misspec_NULL,700,MNARstrong,both_misspec,True,0.0,0.0,IPW,250,0.0,-0.17520759133486136,0.0146105329329239,0.28957063134025385,0.013191624034622984,0.888,0.0199455258140767,0.112,0.0199455258140767,0.6661828571428572,0.4615804458136228,0.6773596070226142,0.7983101109545805,2.209503563251648,461.9586040679203,0.0
N700_MNARstrong_both_misspec_NULL,700,MNARstrong,both_misspec,True,0.0,0.0,AIPW,250,0.0,-0.16325896420648262,0.0125971833251487,0.2572295809153708,0.011329174377755548,0.876,0.02084456763763643,0.124,0.02084456763763643,0.6661828571428572,0.4615804458136228,0.6773596070226142,0.7983101109545805,2.209503563251648,461.9586040679203,0.0
N700_MNARstrong_correct_ALT,700,MNARstrong,correct,False,0.45,0.28,CC,250,0.41382823521152323,-0.17544740168088818,0.012703321485134714,0.26639071036447864,0.010814148410085572,0.864,0.021679852398021532,,,0.6520742857142857,,,,,,
N700_MNARstrong_correct_ALT,700,MNARstrong,correct,False,0.45,0.28,OM,250,0.41382823521152323,-0.1074632306837896,0.012728979869112835,0.2278004634489558,0.010370484246366407,0.908,0.018279606122671238,,,0.6520742857142857,,,,,,
N700_MNARstrong_correct_ALT,700,MNARstrong,correct,False,0.45,0.28,IPW,250,0.41382823521152323,-0.13150748900683254,0.015466477387501355,0.27723273334263177,0.011846265991931228,0.912,0.01791714262933685,,,0.6520742857142857,0.2760089928850434,0.6912243846597885,0.9223190066226872,3.7917570395237274,433.99744986498644,0.0
N700_MNARstrong_correct_ALT,700,MNARstrong,correct,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.10843771687324912,0.012745204727395524,0.22848710922707655,0.010415578564681343,0.908,0.018279606122671238,,,0.6520742857142857,0.2760089928850434,0.6912243846597885,0.9223190066226872,3.7917570395237274,433.99744986498644,0.0
N700_MNARstrong_correct_NULL,700,MNARstrong,correct,True,0.0,0.0,CC,250,0.0,-0.17131800164767444,0.013860401652507712,0.27782266006716116,0.01036693955964044,0.872,0.02112969474460055,0.128,0.02112969474460055,0.6659028571428571,,,,,,
N700_MNARstrong_correct_NULL,700,MNARstrong,correct,True,0.0,0.0,OM,250,0.0,-0.16692435957416818,0.012855592324231542,0.26270713554631436,0.009615517998974614,0.86,0.021945386758952325,0.14,0.021945386758952325,0.6659028571428571,,,,,,
